Area;Nome;Perimetro;CodiceWGI;Regione;Codice;Triangulation Area;Flat Triangulation Area;Map Area;Area Ratio;Map Area Ratio;Fourier H;DFA H;Height Stdev;Higuchi H (paper)
13423;Pioda Sud Ovest;708;I4L01104032;Lombardia;406.0;37735.29853694352;38354.84851289564;32525.0;0.9838468928968964;1.1601936521735132;0.5403178562927473;0.4825417785638951;59.94348898428605;0.8146794268424571
4443;Pizzo Torrone Est;290;I4L01104026;Lombardia;401.0;51872.78781876122;49577.666137786524;45400.0;1.0462934595306703;1.1425724189154454;0.30587668792648537;0.6205996803848516;72.87493779760267;
12398;Cameraccio Est;614;I4L01104028;Lombardia;403.0;12899.068221951511;12001.041213946917;10312.5;1.0748290912425966;1.2508187366740862;0.4773635809190098;;20.91624265205969;
4784487;Scerscen Inferiore;24651;I4L01123001;Lombardia;432.0;4947733.125945479;4765579.47416172;4698425.0;1.0382227707609053;1.0530620635522496;0.6175085855667408;1.0827407659819828;140.58849151809005;0.9057906777532791
4915449;Scerscen Superiore;25672;I4L01123002;Lombardia;433.0;5249407.929306118;4923826.361588061;4831462.5;1.066123689953406;1.086504951514395;0.5992006589191121;0.9343338101300681;156.74074390825726;0.8061581274049292
4005799;Fellaria Est;12478;I4L01123011;Lombardia;440.0;5091756.165274084;4955831.962312753;4754300.0;1.0274271210151962;1.0709791484075644;0.6060749539390029;0.8265898030117079;352.8519850346293;0.7916022313377071
4323578;Fellaria Ovest;23255;I4L01123009;Lombardia;439.0;4571589.784307029;4333406.959233207;4248762.5;1.0549643334481489;1.075981485034061;0.5813904174038005;0.8311192266312408;176.73404678551944;0.8418678952589491
149059;Marinelli;1863;I4L01123003;Lombardia;434.0;147337.94790093714;144281.52180363162;142525.0;1.0211837667020551;1.0337691485770018;0.5686305977745154;0.3268979071589281;20.56742279767197;0.8887636812243416
331572;Caspoggio;4426;I4L01123004;Lombardia;435.0;358322.07616371545;343528.1838880781;317450.0;1.0430645663718154;1.1287512243304945;0.5983496524726561;0.5373519744619385;61.398122553573636;0.8102432708852545
47213;Fellaria Centrale;1361;I4L01123010;Lombardia;439.1;47787.927269131535;45538.972045510985;42762.5;1.0493852874275025;1.1175194918241809;0.5047088991241457;0.6106376464682804;22.415219406925317;
16733;Fellaria Superiore;554;-;Lombardia;440.1;45502.804593137625;44000.821408638876;39625.0;1.034135344214366;1.1483357626028423;0.5678250602815063;0.7392756420201464;66.81808371240726;0.8747175043795172
27988;Fellaria Superiore;1204;-;Lombardia;440.1;45502.804593137625;44000.821408638876;39625.0;1.034135344214366;1.1483357626028423;0.5678250602815063;0.7392756420201464;66.81808371240726;0.8747175043795172
97769;Pizzo Varuna;2387;I4L01123013;Lombardia;441.0;100866.40600410274;95645.6592628862;94762.5;1.0545842517208968;1.0644126738330322;0.6380691087707229;0.1141739525745511;34.280366479425034;0.6708352519624203
82704;Pizzo delle Tre Mogge;1310;I4L01122025;Lombardia;431.0;87570.99262981303;85045.75383522673;78500.0;1.029692708697472;1.1155540462396565;0.5815990256007597;0.8561455980138101;41.63950656337279;0.8859331295237667
15385;Passo delle Tre Mogge;590;-;Lombardia;430.1;14889.598239541014;14441.970698010258;13350.0;1.0309949071972864;1.1153257108270422;0.6583492303867458;;18.995385754856578;
47735;Sassa di Fora;996;I4L01122023;Lombardia;430.0;53248.248125931794;49746.7234750077;44450.0;1.070387040720043;1.1979358408533587;0.602053951443893;1.0030974558332544;35.35611308360474;
267304;Vazzeda;2842;I4L01122018;Lombardia;425.0;300162.4985446185;282486.6221596212;258512.5;1.0625724370586629;1.1611140604211343;0.5838618360044416;0.7112879809629495;66.15878792142408;0.8928109975160545
127245;Cima di Rosso Est;2124;I4L01122017;Lombardia;424.0;148881.7247058057;132292.61088560167;120537.5;1.1253971307176729;1.235148602765162;0.5924918916279249;0.7075693949902765;73.4516244367495;0.8101008842182262
